Numer indeksu,Zestaw kolokwium,Wynik pierwszego kolokwium
162380,Zestaw A,20pkt ?
162285,Zestaw B,19pkt 
162777,Zestaw A,26pkt
156045,Zestaw B,11pkt
163108,Zestaw A,21pkt ?
159684,Zestaw B,20pkt
163093,Zestaw A,18pkt ?
162276,Zestaw B,17
162278,Zestaw A,19pkt ?
162249,Zestaw B,nie pisał
162416,Zestaw A,21pkt
162404,Zestaw B,16pkt
162283,Zestaw A,18pkt ?
163095,Zestaw B,8pkt
162779,Zestaw A,25pkt
162393,Zestaw B,28pkt
162452,Zestaw A,10pkt
162521,Zestaw B,24pkt
163096,Zestaw A,15pkt ?
162308,Zestaw B,24pkt
156051,Zestaw A,6pkt
162258,Zestaw B,19pkt
162885,Zestaw A,14pkt
163103,Zestaw B,17pkt
137477,Zestaw A,0pkt
